time_sec,imsi,estimated_ue_x,estimated_ue_y,estimated_ue_z,ue_x,ue_y,ue_z,ecgi,cell_role,rsrp_dbm,timing_advance
1.0,8,1424.65,555.01,2.0,1424.18,553.63,2.0,001-01-0000009,S,-43.848,1
1.0,8,1424.65,555.01,2.0,1424.18,553.63,2.0,001-01-0000010,N,-69.559,7
1.0,8,1424.65,555.01,2.0,1424.18,553.63,2.0,001-01-0000011,N,-82.114,19
1.0,8,1424.65,555.01,2.0,1424.18,553.63,2.0,001-01-0000012,N,-77.994,13
1.0,8,1424.65,555.01,2.0,1424.18,553.63,2.0,001-01-0000013,N,-71.906,8
1.0,8,1424.65,555.01,2.0,1424.18,553.63,2.0,001-01-0000014,N,-54.917,6
1.0,8,1424.65,555.01,2.0,1424.18,553.63,2.0,001-01-0000015,N,-67.001,9
1.0,8,1424.65,555.01,2.0,1424.18,553.63,2.0,001-01-0000016,N,-91.548,22
1.0,8,1424.65,555.01,2.0,1424.18,553.63,2.0,001-01-0000017,N,-93.948,17
1.0,8,1424.65,555.01,2.0,1424.18,553.63,2.0,001-01-0000018,N,-77.59,13
1.0,8,1424.65,555.01,2.0,1424.18,553.63,2.0,001-01-0000019,N,-79.53,12
1.0,8,1424.65,555.01,2.0,1424.18,553.63,2.0,001-01-0000020,N,-70.103,14
1.0,8,1424.65,555.01,2.0,1424.18,553.63,2.0,001-01-0000021,N,-85.762,26
1.0,8,1424.65,555.01,2.0,1424.18,553.63,2.0,001-01-0000022,N,-84.81,22
1.0,8,1424.65,555.01,2.0,1424.18,553.63,2.0,001-01-0000023,N,-88.698,19
1.0,8,1424.65,555.01,2.0,1424.18,553.63,2.0,001-01-0000024,N,-95.157,19
1.0,8,1424.65,555.01,2.0,1424.18,553.63,2.0,001-01-0000025,N,-90.913,20
1.0,9,467.97,901.92,2.0,562.91,645.51,2.0,001-01-0000001,N,-57.005,5
1.0,9,467.97,901.92,2.0,562.91,645.51,2.0,001-01-0000002,N,-71.937,8
1.0,9,467.97,901.92,2.0,562.91,645.51,2.0,001-01-0000003,N,-72.771,10
1.0,9,467.97,901.92,2.0,562.91,645.51,2.0,001-01-0000004,N,-91.486,15
1.0,9,467.97,901.92,2.0,562.91,645.51,2.0,001-01-0000005,N,-76.387,20
1.0,9,467.97,901.92,2.0,562.91,645.51,2.0,001-01-0000006,N,-73.568,7
1.0,9,467.97,901.92,2.0,562.91,645.51,2.0,001-01-0000007,N,-51.498,2
1.0,9,467.97,901.92,2.0,562.91,645.51,2.0,001-01-0000008,N,-77.043,6
1.0,9,467.97,901.92,2.0,562.91,645.51,2.0,001-01-0000009,N,-87.474,12
1.0,9,467.97,901.92,2.0,562.91,645.51,2.0,001-01-0000010,N,-105.679,18
1.0,9,467.97,901.92,2.0,562.91,645.51,2.0,001-01-0000011,N,-75.012,9
1.0,9,467.97,901.92,2.0,562.91,645.51,2.0,001-01-0000012,S,-45.406,5
1.0,9,467.97,901.92,2.0,562.91,645.51,2.0,001-01-0000013,N,-80.875,7
1.0,9,467.97,901.92,2.0,562.91,645.51,2.0,001-01-0000014,N,-58.326,13
1.0,9,467.97,901.92,2.0,562.91,645.51,2.0,001-01-0000015,N,-77.192,19
1.0,9,467.97,901.92,2.0,562.91,645.51,2.0,001-01-0000016,N,-86.268,13
1.0,9,467.97,901.92,2.0,562.91,645.51,2.0,001-01-0000017,N,-79.364,11
1.0,9,467.97,901.92,2.0,562.91,645.51,2.0,001-01-0000018,N,-82.515,12
1.0,9,467.97,901.92,2.0,562.91,645.51,2.0,001-01-0000019,N,-72.333,16
1.0,9,467.97,901.92,2.0,562.91,645.51,2.0,001-01-0000020,N,-86.358,21
1.0,9,467.97,901.92,2.0,562.91,645.51,2.0,001-01-0000021,N,-78.902,19
1.0,9,467.97,901.92,2.0,562.91,645.51,2.0,001-01-0000022,N,-84.209,17
1.0,9,467.97,901.92,2.0,562.91,645.51,2.0,001-01-0000023,N,-88.761,18
1.0,9,467.97,901.92,2.0,562.91,645.51,2.0,001-01-0000024,N,-87.638,21
1.0,9,467.97,901.92,2.0,562.91,645.51,2.0,001-01-0000025,N,-96.468,25
1.0,10,438.76,2186.62,2.0,747.94,2211.36,2.0,001-01-0000001,N,-77.892,30
1.0,10,438.76,2186.62,2.0,747.94,2211.36,2.0,001-01-0000002,N,-99.751,28
1.0,10,438.76,2186.62,2.0,747.94,2211.36,2.0,001-01-0000003,N,-86.477,28
1.0,10,438.76,2186.62,2.0,747.94,2211.36,2.0,001-01-0000004,N,-99.11,30
1.0,10,438.76,2186.62,2.0,747.94,2211.36,2.0,001-01-0000005,N,-110.536,33
1.0,10,438.76,2186.62,2.0,747.94,2211.36,2.0,001-01-0000006,N,-86.695,24
1.0,10,438.76,2186.62,2.0,747.94,2211.36,2.0,001-01-0000007,N,-89.166,22
1.0,10,438.76,2186.62,2.0,747.94,2211.36,2.0,001-01-0000008,N,-76.506,22
1.0,10,438.76,2186.62,2.0,747.94,2211.36,2.0,001-01-0000009,N,-104.594,24
1.0,10,438.76,2186.62,2.0,747.94,2211.36,2.0,001-01-0000010,N,-72.007,27
1.0,10,438.76,2186.62,2.0,747.94,2211.36,2.0,001-01-0000011,N,-75.137,18
1.0,10,438.76,2186.62,2.0,747.94,2211.36,2.0,001-01-0000012,N,-85.712,16
1.0,10,438.76,2186.62,2.0,747.94,2211.36,2.0,001-01-0000013,N,-87.969,16
1.0,10,438.76,2186.62,2.0,747.94,2211.36,2.0,001-01-0000014,N,-93.622,18
1.0,10,438.76,2186.62,2.0,747.94,2211.36,2.0,001-01-0000015,N,-90.288,22
1.0,10,438.76,2186.62,2.0,747.94,2211.36,2.0,001-01-0000016,N,-84.093,13
1.0,10,438.76,2186.62,2.0,747.94,2211.36,2.0,001-01-0000017,N,-73.372,10
1.0,10,438.76,2186.62,2.0,747.94,2211.36,2.0,001-01-0000018,N,-79.867,10
1.0,10,438.76,2186.62,2.0,747.94,2211.36,2.0,001-01-0000019,N,-71.349,13
1.0,10,438.76,2186.62,2.0,747.94,2211.36,2.0,001-01-0000020,N,-87.056,18
1.0,10,438.76,2186.62,2.0,747.94,2211.36,2.0,001-01-0000021,N,-80.046,10
1.0,10,438.76,2186.62,2.0,747.94,2211.36,2.0,001-01-0000022,S,-55.634,4
1.0,10,438.76,2186.62,2.0,747.94,2211.36,2.0,001-01-0000023,N,-76.964,4
1.0,10,438.76,2186.62,2.0,747.94,2211.36,2.0,001-01-0000024,N,-75.347,10
1.0,10,438.76,2186.62,2.0,747.94,2211.36,2.0,001-01-0000025,N,-85.798,16
1.0,11,2000.44,842.71,2.0,1764.9,970.34,2.0,001-01-0000001,N,-67.293,20
1.0,11,2000.44,842.71,2.0,1764.9,970.34,2.0,001-01-0000002,N,-96.995,20
1.0,11,2000.44,842.71,2.0,1764.9,970.34,2.0,001-01-0000003,N,-92.81,16
1.0,11,2000.44,842.71,2.0,1764.9,970.34,2.0,001-01-0000004,N,-75.444,13
